#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
     16     2.009296e-03     1.910918e-03     1.666233e-02     1.947322e+00     1.948619e+00     9.184197e-01     7.517159e+01     1.481660e+02     3.981072e+00
     17     1.228549e-03     9.527967e-04     2.069376e-02     2.475972e+00     2.477657e+00     9.184194e-01     7.533318e+01     1.481660e+02     3.981072e+00
     18     1.207470e-03     9.421715e-04     2.015035e-02     2.075546e+00     2.076938e+00     9.184208e-01     7.533155e+01     1.481660e+02     3.981072e+00
     19     1.179185e-03     9.170336e-04     1.977965e-02     2.256461e+00     2.257986e+00     9.184216e-01     7.533576e+01     1.481660e+02     3.981072e+00
     20     1.171449e-03     9.062785e-04     1.980473e-02     1.812210e+00     1.813406e+00     9.184220e-01     7.533898e+01     1.481660e+02     3.981072e+00
# negative curvature suspected
# FLECS final (true) rel. res.  :   |res|/|res0| = 1.171450e-03
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.980473e-02
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 1.709348e-04
# initial residual norm     = 5.479228e+00
# initial gradient norm     = 4.203221e+00
# initial constraint norm   = 3.514949e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     5.011872e+00
      1     7.224782e-01     7.953530e-01     6.031613e-01     7.224953e-01     8.757626e-01     6.035647e-01     -2.185728e+00     1.751216e+01     5.011872e+00
      2     6.588696e-01     7.999784e-01     3.738200e-01     6.668009e-01     8.194568e-01     4.224396e-01     -7.843729e+00     1.932548e+01     5.011872e+00
      3     6.149775e-01     7.798744e-01     2.220246e-01     6.297701e-01     7.789404e-01     3.378572e-01     -9.526998e+00     2.062460e+01     5.011872e+00
      4     4.162273e-01     4.812041e-01     2.997673e-01     7.048071e-01     8.887619e-01     2.726391e-01     9.416938e+00     4.373344e+01     5.011872e+00
      5     4.146421e-01     4.803228e-01     2.964318e-01     1.383569e+00     1.792286e+00     2.043184e-01     9.430810e+00     4.509887e+01     5.011872e+00
      6     3.125718e-01     3.549071e-01     2.393601e-01     4.884797e-01     6.063054e-01     1.903537e-01     1.386795e+01     4.528352e+01     5.011872e+00
      7     2.964468e-01     3.360772e-01     2.281129e-01     1.494988e+00     1.939347e+00     1.854015e-01     1.408574e+01     4.534311e+01     5.011872e+00
      8     1.044473e-01     1.144612e-01     8.817341e-02     1.331690e-01     1.364291e-01     5.791633e-02     1.533153e+01     4.631346e+01     5.011872e+00
      9     9.579989e-02     1.035240e-01     8.352265e-02     3.807186e-01     4.871186e-01     4.536525e-02     1.535674e+01     4.634848e+01     5.011872e+00
     10     5.190627e-02     4.952659e-02     5.513098e-02     1.346781e-01     1.582133e-01     2.910744e-02     1.540272e+01     4.638155e+01     5.011872e+00
     11     3.312765e-02     3.017748e-02     3.693918e-02     1.321764e-01     1.545912e-01     2.910039e-02     1.540333e+01     4.638157e+01     5.011872e+00
     12     9.011808e-03     9.510729e-03     8.246088e-03     2.989103e-02     0.000000e+00     2.588145e-02     1.540026e+01     4.638652e+01     5.011872e+00
     13     8.239842e-03     8.846769e-03     7.284625e-03     2.837822e-02     0.000000e+00     2.590909e-02     1.540222e+01     4.638656e+01     5.011872e+00
     14     5.168584e-03     6.060311e-03     3.520771e-03     3.276073e-02     0.000000e+00     2.591632e-02     1.540614e+01     4.638698e+01     5.011872e+00
     15     4.345882e-03     5.355081e-03     2.210657e-03     3.693996e-02     0.000000e+00     2.592055e-02     1.540628e+01     4.638701e+01     5.011872e+00
     16     3.767518e-03     4.779233e-03     1.352563e-03     3.993993e-02     0.000000e+00     2.592585e-02     1.540560e+01     4.638703e+01     5.011872e+00
     17     2.815573e-03     3.478764e-03     1.399383e-03     6.576177e-02     4.677003e-02     2.594279e-02     1.540600e+01     4.638729e+01     5.011872e+00
     18     2.629930e-03     3.299469e-03     1.113377e-03     6.111817e-02     3.460461e-02     2.588627e-02     1.540603e+01     4.638750e+01     5.011872e+00
     19     2.124245e-03     2.422146e-03     1.604901e-03     5.644679e-02     1.629370e-02     2.587996e-02     1.540622e+01     4.638750e+01     5.011872e+00
     20     2.106581e-03     2.398747e-03     1.598566e-03     5.623246e-02     1.498734e-02     2.587908e-02     1.540611e+01     4.638750e+01     5.011872e+00
# negative curvature suspected
# FLECS final (true) rel. res.  :   |res|/|res0| = 2.106573e-03
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.598566e-03
#-------------------------------------------------
# FLECS resolving at new radius
     20     2.557524e-03     2.398747e-03     1.598566e-03     2.557524e-03     2.398747e-03     2.587908e-02     1.540611e+01     4.638750e+01     5.011872e+00
# negative curvature suspected
#-------------------------------------------------
# FLECS resolving at new radius
     20     2.557524e-03     2.398747e-03     1.598566e-03     2.557524e-03     2.398747e-03     1.239365e-01     1.540611e+01     4.352249e+01     5.011872e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.476868e-04
# initial residual norm     = 3.033267e+00
# initial gradient norm     = 1.821107e+00
# initial constraint norm   = 2.425753e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     6.309573e+00
